stage,multiplier,P,seed,feasible_raw,row_violations,col_violations,travel,gap_vs_2opt_ratio,gap_vs_2opt_pct
B,10.0,380.0,171,True,0,0,66.0,2.0,100.0
B,10.0,380.0,173,True,0,0,66.0,2.0,100.0
B,10.0,380.0,172,True,0,0,67.0,2.0303030303030303,103.03030303030303
B,10.0,380.0,167,True,0,0,68.0,2.0606060606060606,106.06060606060606
B,10.0,380.0,175,True,0,0,70.0,2.121212121212121,112.12121212121211
B,10.0,380.0,179,True,0,0,72.0,2.1818181818181817,118.18181818181819
B,12.0,456.0,186,True,0,0,45.0,1.3636363636363635,36.36363636363637
B,12.0,456.0,194,True,0,0,54.0,1.6363636363636365,63.63636363636363
B,12.0,456.0,199,True,0,0,54.0,1.6363636363636365,63.63636363636363
B,12.0,456.0,203,True,0,0,55.0,1.6666666666666667,66.66666666666666
B,12.0,456.0,195,True,0,0,56.0,1.696969696969697,69.6969696969697
B,12.0,456.0,196,True,0,0,56.0,1.696969696969697,69.6969696969697
B,12.0,456.0,188,True,0,0,59.0,1.7878787878787878,78.78787878787878
B,12.0,456.0,185,True,0,0,60.0,1.8181818181818181,81.81818181818183
B,12.0,456.0,187,True,0,0,60.0,1.8181818181818181,81.81818181818183
B,12.0,456.0,202,True,0,0,60.0,1.8181818181818181,81.81818181818183
B,12.0,456.0,204,True,0,0,61.0,1.8484848484848484,84.84848484848484
B,12.0,456.0,193,True,0,0,62.0,1.878787878787879,87.87878787878788
B,12.0,456.0,200,True,0,0,62.0,1.878787878787879,87.87878787878788
B,12.0,456.0,197,True,0,0,63.0,1.9090909090909092,90.9090909090909
B,12.0,456.0,198,True,0,0,63.0,1.9090909090909092,90.9090909090909
B,12.0,456.0,189,True,0,0,65.0,1.9696969696969697,96.96969696969697
B,12.0,456.0,191,True,0,0,65.0,1.9696969696969697,96.96969696969697
B,12.0,456.0,192,True,0,0,66.0,2.0,100.0
B,12.0,456.0,190,True,0,0,68.0,2.0606060606060606,106.06060606060606
B,12.0,456.0,201,True,0,0,68.0,2.0606060606060606,106.06060606060606
B,15.0,570.0,214,True,0,0,53.0,1.606060606060606,60.60606060606061
B,15.0,570.0,213,True,0,0,54.0,1.6363636363636365,63.63636363636363
B,15.0,570.0,222,True,0,0,55.0,1.6666666666666667,66.66666666666666
B,15.0,570.0,211,True,0,0,56.0,1.696969696969697,69.6969696969697
B,15.0,570.0,208,True,0,0,57.0,1.7272727272727273,72.72727272727273
B,15.0,570.0,209,True,0,0,59.0,1.7878787878787878,78.78787878787878
